Name,Abbr,Status,Capital,Area,Population
Abruzzo,ABR,Reg,L'Aquila,10795,1311580
Basilicata,BAS,Reg,Potenza,9992,562869
Calabria,CAL,Reg,Catanzaro,15080,1947131
Campania,CAM,Reg,Napoli,13595,5801692
Emilia-Romagna,EMI,Reg,Bologna,22451,4459477
Friuli-Venezia Giulia,FRI,AReg,Trieste,7907,1215220
Lazio,LAZ,Reg,Roma,17207,5879082
Liguria,LIG,Reg,Genova,5421,1550640
Lombardia,LOM,Reg,Milano,23861,10060574
Marche,MAR,Reg,Ancona,9366,1525271
Molise,MOL,Reg,Campobasso,4438,305617
Piemonte,PIE,Reg,Torino,25399,4356406
Puglia,PUG,Reg,Bari,19363,4029053
Sardegna,SAR,AReg,Cagliari,24090,1639591
Sicilia,SIC,AReg,Palermo,25707,4999891
Toscana,TOS,Reg,Firenze,22993,3729641
Trentino-Alto Adige,TRE,AReg,Trento,13607,1072276
Umbria,UMB,Reg,Perugia,8456,882015
Valle d'Aosta,VDA,AReg,Aosta,3263,125666
Veneto,VEN,Reg,Venezia,18316,4905854